,Type,Date,Num,Name,Memo,Clr,Split,Amount,Balance
,Deposit,5/10/18,,"GoldenWest Management, Inc",on hold $500 Bright Leaf,X,Rental Income,1095,8035.12
,Deposit,5/10/18,,"GoldenWest Management, Inc",on hold $500 Fort Pike,X,Rental Income,1550,9585.12
,Check,6/1/18,,"GoldenWest Management, Inc",Bright Leaf,X,Management Fees,-85,9500.12
,Check,6/1/18,,"GoldenWest Management, Inc",Fort Pike,X,Management Fees,-115,9385.12
,Deposit,6/1/18,,"GoldenWest Management, Inc",Deposit Fort Pike,X,Rental Income,1550,10935.12
,Deposit,6/1/18,,"GoldenWest Management, Inc",Deposit Bright Leaf,X,Rental Income,1095,12030.12
,Check,6/21/18,,MOUNTAINS EDGE MASTER ASSOCIATION,paid boa chk #1399 Fort Pike,X,Community Association Fee,-192,11838.12
,Check,6/26/18,,ELDORADO THIRD CA,paid boa chk #1549 Bright Leaf,X,Community Association Fee,-78,11760.12
,Check,7/13/18,,Clark County Water Reclamation,7/12/18 paid tri citi credit card Fort Pike,X,Utilities,-225.09,11535.03
,Check,7/18/18,,"GoldenWest Management, Inc",Bright Leaf,X,Management Fees,-85,11450.03
,Check,7/18/18,,"GoldenWest Management, Inc",Fort Pike,X,Management Fees,-115,11335.03
,Deposit,7/18/18,,"GoldenWest Management, Inc",Bright Leaf,X,Rental Income,1095,12430.03
,Check,7/22/18,,Clark County Treasures,fort pike,X,Property Tax,-2100.6,10329.43
,Check,7/22/18,,Clark County Treasures,bright leaf,X,Property Tax,-1284.85,9044.58
,Check,8/2/18,,"GoldenWest Management, Inc",Bright Leaf,X,Management Fees,-115,8944.58
,Deposit,8/2/18,,"GoldenWest Management, Inc",Bright Leaf,X,Rental Income,1095,10039.58
,Check,8/2/18,,"GoldenWest Management, Inc",Fort Pike,X,Management Fees,-115,9924.58
,Deposit,8/2/18,,"GoldenWest Management, Inc",Fort Pike,X,Rental Income,957,10881.58
,Check,9/2/18,,"GoldenWest Management, Inc",Bright Leaf,X,Management Fees,-85,10563.7
,Deposit,9/2/18,,"GoldenWest Management, Inc",Bright Leaf,X,Management Fees,30,10593.7
,Deposit,9/2/18,,"GoldenWest Management, Inc",Bright Leaf,X,Rental Income,1095,11688.7
,Check,9/2/18,,"GoldenWest Management, Inc",Fort Pike,X,Management Fees,-115,11573.7
,Deposit,9/2/18,,"GoldenWest Management, Inc",Deposit Fort Pike,X,Rental Income,1595,13168.7
,Deposit,9/2/18,,"GoldenWest Management, Inc",Deposit Fort Pike,X,Rental Income,20,13188.7
,Check,9/2/18,,Gutierrez Handyman Services, Fort Pike,X,Repairs and Maintenance,-605,12583.7
,Check,9/23/18,,MOUNTAINS EDGE MASTER ASSOCIATION,paid chase chk #504 Fort Pike,X,Community Association Fee,-192,12391.7
,Check,9/24/18,,ELDORADO THIRD CA,pay chase chk#506 Bright Leaf,X,Community Association Fee,-48,12343.7
,Check,9/28/18,,Gutierrez Handyman Services, Bright Leaf,X,Repairs and Maintenance,-300,12043.7
,Check,10/3/18,,"GoldenWest Management, Inc",Bright Leaf,X,Management Fees,-85,11958.7
,Check,10/3/18,,"GoldenWest Management, Inc",Fort Pike,X,Management Fees,-115,11843.7
,Deposit,10/3/18,,"GoldenWest Management, Inc",Fort Pike,X,Rental Income,20,11863.7
,Deposit,10/3/18,,"GoldenWest Management, Inc",Bright Leaf,X,Rental Income,1095,12958.7
,Deposit,10/3/18,,"GoldenWest Management, Inc",Fort Pike,X,Rental Income,1595,14553.7
,Check,10/24/18,,Number One Plumbing Heating & Air,Fort Pike,X,Repairs and Maintenance,-260.5,4293.2
,Check,11/1/18,,"GoldenWest Management, Inc",Fort Pike,X,Management Fees,-115,4178.2
,Check,11/1/18,,"GoldenWest Management, Inc",Bright Leaf,X,Management Fees,-85,4093.2
,Deposit,11/1/18,,"GoldenWest Management, Inc",Bright Leaf,X,Rental Income,1095,5188.2
,Deposit,11/1/18,,"GoldenWest Management, Inc",Fort Pike,X,Rental Income,1595,6783.2
,Deposit,11/1/18,,"GoldenWest Management, Inc",Fort Pike,X,Rental Income,20,6803.2
,Check,11/8/18,,"Ruben""s Appliance HVAC LLC",Fort Pike 280+240,X,Repairs and Maintenance,-520,6283.2
,Check,12/3/18,,"GoldenWest Management, Inc",Bright Leaf,X,Management Fees,-85,6198.2
,Check,12/3/18,,"GoldenWest Management, Inc",Fort Pike,X,Management Fees,-115,6083.2
,Deposit,12/3/18,,"GoldenWest Management, Inc",Fort Pike,X,Rental Income,1595,7678.2
,Deposit,12/3/18,,"GoldenWest Management, Inc",Bright Leaf,X,Rental Income,1095,8773.2
,Deposit,12/3/18,,"GoldenWest Management, Inc",Fort Pike,X,Rental Income,20,8793.2
,Deposit,12/3/18,,"GoldenWest Management, Inc",Fort Pike,X,Rental Income,53,8846.2
,Check,12/26/18,,State Farm Fire and Casualty Company,paid credit card 2227 Bright Leaf,X,Insurance Expense,-486,8360.2
,Check,12/26/18,,MOUNTAINS EDGE MASTER ASSOCIATION,pay boa chk#2009 Bright Leaf,X,Community Association Fee,-192,8168.2
,Check,12/26/18,,ELDORADO THIRD CA,pay boa chk#2008 Fort Pike,X,Community Association Fee,-63,8105.2
,Check,1/3/19,,"GoldenWest Management, Inc",Bright Leaf,X,Management Fees,-85,7830.2
,Check,1/3/19,,"GoldenWest Management, Inc",Fort Pike,X,Management Fees,-115,7715.2
,Deposit,1/3/19,,"GoldenWest Management, Inc",Bright Leaf,X,Rental Income,1095,8810.2
,Deposit,1/3/19,,"GoldenWest Management, Inc",Fort Pike,X,Rental Income,1595,10405.2
,Deposit,1/3/19,,"GoldenWest Management, Inc",Fort Pike,X,Rental Income,20,10425.2
,Check,1/11/19,,State Farm Fire and Casualty Company,paid credit card 2227 Fort Pike,X,Insurance Expense,-589,9836.2
,Check,2/20/19,,"GoldenWest Management, Inc",Bright Leaf,X,Management Fees,-85,6477.6
,Check,2/20/19,,"GoldenWest Management, Inc",Fort Pike,X,Management Fees,-115,6362.6
,Deposit,2/20/19,,"GoldenWest Management, Inc",Fort Pike,X,Rental Income,1595,7957.6
,Deposit,2/20/19,,"GoldenWest Management, Inc",Fort Pike,X,Rental Income,20,7977.6
,Deposit,2/20/19,,"GoldenWest Management, Inc",Bright Leaf,X,Rental Income,1095,9072.6
,Check,3/5/19,,ELDORADO THIRD CA,chase chk #509 Bright Leaf,X,Community Association Fee,-63,9009.6
,Check,3/5/19,,ELDORADO THIRD CA,chk #509 Bright Leaf,X,Community Association Fee,-63,8946.6
,Deposit,3/16/19,,"GoldenWest Management, Inc",Deposit Bright Leaf,X,Rental Income,1095,10041.6
,Check,3/16/19,,"GoldenWest Management, Inc",Bright Leaf,X,Management Fees,-85,9956.6
,Deposit,3/16/19,,"GoldenWest Management, Inc",Fort Pike,X,Rental Income,1595,11551.6
,Deposit,3/16/19,,"GoldenWest Management, Inc",Fort Pike,X,Rental Income,20,11571.6
,Check,3/16/19,,"GoldenWest Management, Inc",Fort Pike,X,Management Fees,-115,11456.6
,Check,3/19/19,,FRANCHISE TAX BOARD,2019,X,LLC Tax,-800,10656.6
,Check,3/26/19,,MOUNTAINS EDGE MASTER ASSOCIATION,chase chk #510 Fort Pike,X,Community Association Fee,-192,10464.6
,Deposit,4/16/19,,"GoldenWest Management, Inc",Deposit Bright Leaf,X,Rental Income,1095,10664.4
,Deposit,4/16/19,,"GoldenWest Management, Inc",Fort Pike,X,Rental Income,1595,12259.4
,Deposit,4/16/19,,"GoldenWest Management, Inc",Fort Pike,X,Rental Income,20,12279.4
,Check,4/16/19,,"GoldenWest Management, Inc",Fort Pike,X,Management Fees,-115,12164.4
,Check,4/16/19,,"GoldenWest Management, Inc",Bright Leaf,X,Management Fees,-85,12079.4
,Deposit,5/1/19,,"GoldenWest Management, Inc",Fort Pike,X,Rental Income,1595,13674.4
,Deposit,5/1/19,,"GoldenWest Management, Inc",Fort Pike,X,Rental Income,20,13694.4
,Check,5/1/19,,"GoldenWest Management, Inc",Fort Pike,X,Management Fees,-115,13579.4
,Check,5/1/19,,AMERICAN HOME MECHANICAL LLC.,Fort Pike AC TURN UP,X,Repairs and Maintenance,-200,13379.4
,Deposit,5/1/19,,"GoldenWest Management, Inc",Bright Leaf,X,Rental Income,1150,14529.4
,Check,5/1/19,,AMERICAN HOME MECHANICAL LLC.,Bright Leaf  AC TURN UP,X,Repairs and Maintenance,-85,14444.4
,Check,5/1/19,,"GoldenWest Management, Inc",Bright Leaf,X,Management Fees,-85,14359.4
,Check,5/1/19,,"GoldenWest Management, Inc",Bright Leaf Lease Renewal Fee $150,X,Management Fees,-150,14209.4
,Check,5/22/19,,"GoldenWest Management, Inc",Interior Inspection 4/2019 Bright Leaf,X,Management Fees,-49,14160.4
,Deposit,6/19/19,,"GoldenWest Management, Inc",Fort Pike,X,Rental Income,1595,5755.4
,Deposit,6/19/19,,"GoldenWest Management, Inc",Fort Pike,X,Rental Income,20,5775.4
,Check,6/19/19,,"GoldenWest Management, Inc",Fort Pike,X,Management Fees,-115,5660.4
,Deposit,6/19/19,,"GoldenWest Management, Inc",Bright Leaf,X,Rental Income,1150,6810.4
,Check,6/19/19,,"GoldenWest Management, Inc",Bright Leaf,X,Management Fees,-85,6725.4
,Check,6/20/19,,"GoldenWest Management, Inc",Annual Record & Retention Fee Bright Leaf,X,Management Fees,-49,6676.4
,Check,6/22/19,,MOUNTAINS EDGE MASTER ASSOCIATION,6/2019 chk#513 Fort Pike,X,Community Association Fee,-192,6484.4
,Check,6/22/19,,ELDORADO THIRD CA,chk # 514 6&9 Bright Leaf,X,Community Association Fee,-126,6358.4
,Check,6/22/19,,MOUNTAINS EDGE MASTER ASSOCIATION,Fort Pike,X,Community Association Fee,-192,6166.4
,Check,7/2/19,,"GoldenWest Management, Inc",Bright Leaf,X,Management Fees,-85,6081.4
,Check,7/2/19,,"GoldenWest Management, Inc",Fort Pike,X,Management Fees,-115,5966.4
,Deposit,7/2/19,,"GoldenWest Management, Inc",Bright Leaf,X,Rental Income,1150,7116.4
,Deposit,7/2/19,,"GoldenWest Management, Inc",Fort Pike,X,Rental Income,1595,8711.4
,Deposit,7/2/19,,"GoldenWest Management, Inc",Fort Pike,X,Rental Income,20,8731.4
,Check,7/12/19,,Clark County Water Reclamation,7/1/19 to 6/30/20 Fort Pike,X,Utilities,-231.16,8500.24
,Check,7/30/19,,Clark County Treasures,Bright Leaf,X,Property Tax,-1330.93,7169.31
,Check,7/30/19,,Clark County Treasures,Fort Pike,X,Property Tax,-2201.32,4967.99
,Check,8/17/19,,"GoldenWest Management, Inc",Bright Leaf,X,Management Fees,-85,4882.99
,Check,8/17/19,,"GoldenWest Management, Inc",Fort Pike,X,Management Fees,-115,4767.99
,Deposit,8/17/19,,"GoldenWest Management, Inc",Bright Leaf,X,Rental Income,1150,5917.99
,Deposit,8/17/19,,"GoldenWest Management, Inc",Fort Pike,X,Rental Income,1595,7512.99
,Deposit,8/17/19,,"GoldenWest Management, Inc",Fort Pike,X,Rental Income,20,7532.99
,Deposit,9/16/19,,"GoldenWest Management, Inc",Bright Leaf,X,Rental Income,1150,8682.99
,Check,9/16/19,,"GoldenWest Management, Inc",Bright Leaf,X,Management Fees,-85,8597.99
,Deposit,9/16/19,,"GoldenWest Management, Inc",Fort Pike,X,Rental Income,1595,10192.99
,Check,9/16/19,,"GoldenWest Management, Inc",Fort Pike,X,Management Fees,-115,10077.99
,Deposit,9/16/19,,"GoldenWest Management, Inc",Fort Pike,X,Rental Income,20,10097.99
,Check,9/16/19,,"GoldenWest Management, Inc",Fort Pike,X,Management Fees,-5,10092.99
,Check,10/1/19,,"GoldenWest Management, Inc",Bright Leaf,X,Management Fees,-85,10007.99
,Check,10/1/19,,"GoldenWest Management, Inc",Fort Pike,X,Management Fees,-115,9892.99
,Deposit,10/1/19,,"GoldenWest Management, Inc",Fort Pike,X,Rental Income,1150,11042.99
,Deposit,10/1/19,,"GoldenWest Management, Inc",Fort Pike,X,Rental Income,1595,12637.99
,Deposit,10/1/19,,"GoldenWest Management, Inc",Fort Pike,X,Rental Income,20,12657.99
,Deposit,11/3/19,,"GoldenWest Management, Inc",Bright Leaf,X,Rental Income,1150,13807.99
,Check,11/3/19,,"GoldenWest Management, Inc",Bright Leaf,X,Management Fees,-85,13722.99
,Deposit,11/3/19,,"GoldenWest Management, Inc",Fort Pike,X,Rental Income,1595,15317.99
,Deposit,11/3/19,,"GoldenWest Management, Inc",Fort Pike,X,Rental Income,20,15337.99
,Check,11/3/19,,"GoldenWest Management, Inc",Fort Pike,X,Management Fees,-115,15222.99
,Deposit,11/4/19,,Clark County Treasures,bright leaf tax refund,X,Property Tax,22.83,15245.82
,Check,11/20/19,,"GoldenWest Management, Inc",Bright Leaf,X,Management Fees,-49,15196.82
,Check,11/20/19,,"GoldenWest Management, Inc",Bright Leaf,X,Management Fees,-49,15147.82
,Check,11/27/19,,AMERICAN HOME MECHANICAL LLC.,Bright Leaf,X,Repairs and Maintenance,-50,15097.82
,Deposit,12/1/19,,"GoldenWest Management, Inc",Fort Pike,X,Rental Income,1595,16692.82
,Deposit,12/1/19,,"GoldenWest Management, Inc",Fort Pike,X,Rental Income,20,16712.82
,Check,12/1/19,,"GoldenWest Management, Inc",115+5+5 Fort Pike,X,Management Fees,-125,16587.82
,Check,12/20/19,,MOUNTAINS EDGE MASTER ASSOCIATION,Fort Pike,X,Community Association Fee,-192,12442.37
,Check,12/30/19,,State Farm Fire and Casualty Company,Bright Leaf,X,Insurance Expense,-527,11915.37
,Deposit,1/1/20,,"GoldenWest Management, Inc",Fort Pike,X,Rental Income,1595,13563.67
,Deposit,1/1/20,,"GoldenWest Management, Inc",Fort Pike,X,Rental Income,20,13583.67
,Check,1/1/20,,"GoldenWest Management, Inc",Fort Pike,X,Management Fees,-145,13438.67
,Deposit,1/1/20,,"GoldenWest Management, Inc",Fort Pike,X,Rental Income,1364,14802.67
,Deposit,1/1/20,,"GoldenWest Management, Inc",Bright Leaf,X,Rental Income,1149.2,15951.87
,Check,1/8/20,,"GoldenWest Management, Inc",50+57.5 Bright Leaf,X,Management Fees,-107.5,15902.17
,Check,1/20/20,,State Farm Fire and Casualty Company,Fort Pike,X,Insurance Expense,-638.88,14942.79
,Deposit,2/17/20,,"GoldenWest Management, Inc",Deposit Bright Leaf,X,Rental Income,1150,16092.79
,Deposit,2/17/20,,"GoldenWest Management, Inc",Fort Pike,X,Rental Income,1595,17687.79
,Deposit,2/17/20,,"GoldenWest Management, Inc",Fort Pike,X,Rental Income,20,17707.79
,Check,2/17/20,,"GoldenWest Management, Inc",Fort Pike,X,Management Fees,-145,17562.79
,Check,2/17/20,,"GoldenWest Management, Inc",Bright Leaf,X,Management Fees,-115,17447.79
,Check,3/16/20,,"GoldenWest Management, Inc",Bright Leaf,X,Management Fees,-115,17332.79
,Check,3/16/20,,"GoldenWest Management, Inc",Fort Pike,X,Management Fees,-145,17187.79
,Deposit,3/16/20,,"GoldenWest Management, Inc",Bright Leaf,X,Rental Income,1150,18337.79
,Deposit,3/16/20,,"GoldenWest Management, Inc",Fort Pike,X,Rental Income,1595,19932.79
,Deposit,3/16/20,,"GoldenWest Management, Inc",Fort Pike,X,Rental Income,20,19952.79
,Check,3/23/20,,MOUNTAINS EDGE MASTER ASSOCIATION,checking #527 Bright Leaf,X,Community Association Fee,-192,1760.79
,Check,3/23/20,,ELDORADO THIRD CA,checking #526 Fort Pike,X,Community Association Fee,-63,1697.79
,Check,4/16/20,,"GoldenWest Management, Inc",115+5 Bright Leaf,X,Management Fees,-120,1577.79
,Check,4/16/20,,"GoldenWest Management, Inc",Fort Pike,X,Management Fees,-145,1432.79
,Deposit,4/16/20,,"GoldenWest Management, Inc",Bright Leaf,X,Rental Income,1150,2582.79
,Deposit,4/16/20,,"GoldenWest Management, Inc",Fort Pike,X,Rental Income,1595,4177.79
,Deposit,4/16/20,,"GoldenWest Management, Inc",Fort Pike,X,Rental Income,20,4197.79
,Check,4/20/20,,REPUBLIC SERVICE,Fort Pike,X,Utilities,-45.84,4151.95
,Check,5/2/20,,FRANCHISE TAX BOARD,2020,X,LLC Tax,-800,3331.95
,Check,5/11/20,,"GoldenWest Management, Inc",Fort Pike,X,Management Fees,-145,3186.95
,Deposit,5/11/20,,"GoldenWest Management, Inc",Fort Pike,X,Rental Income,1595,4781.95
,Deposit,5/11/20,,"GoldenWest Management, Inc",Fort Pike,X,Rental Income,20,4801.95
,Check,5/11/20,,AMERICAN HOME MECHANICAL LLC.,HVAC Fort Pike,X,Repairs and Maintenance,-140,4661.95
,Check,5/11/20,,"GoldenWest Management, Inc",Bright Leaf,X,Management Fees,-115,4546.95
,Check,5/11/20,,"GoldenWest Management, Inc",Bright Leaf,X,Management Fees,-5,4541.95
,Deposit,5/11/20,,"GoldenWest Management, Inc",Deposit Bright Leaf,X,Rental Income,1150,5691.95
,Check,5/11/20,,Nature by Design LLC,Weed Removal Bright Leaf,X,Repairs and Maintenance,-155,5536.95
,Deposit,5/26/20,,"GoldenWest Management, Inc",Deposit 95+155 Bright Leaf,X,Rental Income,250,5786.95
,Deposit,6/17/20,,"GoldenWest Management, Inc",Fort Pike,X,Rental Income,1595,7381.95
,Deposit,6/17/20,,"GoldenWest Management, Inc",Fort Pike,X,Rental Income,20,7401.95
,Check,6/17/20,,"GoldenWest Management, Inc",HOA Coordination May Fort Pike,X,Management Fees,-5,7396.95
,Check,6/17/20,,"GoldenWest Management, Inc",Fort Pike,X,Management Fees,-145,7251.95
,Check,6/17/20,,"GoldenWest Management, Inc",Semi Annual Records Fort Pike,X,Management Fees,-49,7202.95
,Deposit,6/17/20,,"GoldenWest Management, Inc",Deposit Bright Leaf,X,Rental Income,1055,8257.95
,Check,6/17/20,,"GoldenWest Management, Inc",Bright Leaf,X,Management Fees,-115,8142.95
,Check,6/17/20,,"GoldenWest Management, Inc",Semi Annual records Bright Leaf,X,Management Fees,-49,8093.95
,Check,6/22/20,,MOUNTAINS EDGE MASTER ASSOCIATION,checking #529 Fort Pike,X,Community Association Fee,-192,7901.95
,Check,6/24/20,,AMERICAN HOME MECHANICAL LLC.,Bright Leaf  AC tune up,X,Repairs and Maintenance,-85,7816.95
,Check,7/15/20,,"GoldenWest Management, Inc",HOA Coordination June Fort Pike,X,Management Fees,-5,7811.95
,Check,7/15/20,,Clark County Treasures,Bright Leaf,X,Property Tax,-1347.95,6464
,Check,7/15/20,,Clark County Treasures,Fort Pike,X,Property Tax,-2349.35,4114.65
,Check,7/16/20,,"GoldenWest Management, Inc",Bright Leaf,X,Management Fees,-115,3999.65
,Check,7/16/20,,"GoldenWest Management, Inc",Fort Pike,X,Management Fees,-145,3854.65
,Deposit,7/16/20,,"GoldenWest Management, Inc",Bright Leaf,X,Rental Income,1150,5004.65
,Deposit,7/16/20,,"GoldenWest Management, Inc",Fort Pike,X,Rental Income,1595,6599.65
,Deposit,7/16/20,,"GoldenWest Management, Inc",Fort Pike,X,Rental Income,20,6619.65
,Check,7/20/20,,REPUBLIC SERVICE,Fort Pike,X,Utilities,-46.65,6573
,Check,7/22/20,,Clark County Water Reclamation,Fort Pike,X,Utilities,-231.16,6341.84
,Check,8/17/20,,"GoldenWest Management, Inc",Bright Leaf,X,Management Fees,-115,6226.84
,Check,8/17/20,,"GoldenWest Management, Inc",Bright Leaf Lease Renew Fee,X,Management Fees,-150,6076.84
,Check,8/17/20,,"GoldenWest Management, Inc",Fort Pike,X,Management Fees,-145,5931.84
,Deposit,8/17/20,,"GoldenWest Management, Inc",Fort Pike,X,Rental Income,1595,7526.84
,Deposit,8/17/20,,"GoldenWest Management, Inc",Fort Pike,X,Rental Income,20,7546.84
,Deposit,8/17/20,,"GoldenWest Management, Inc",Bright Leaf,X,Rental Income,1220,8766.84
,Check,8/25/20,,REPUBLIC SERVICE,paid gift card Fort Pike,X,Utilities,-50.58,8716.26
,Check,9/1/20,,"GoldenWest Management, Inc", Bright Leaf,X,Management Fees,-115,8601.26
,Deposit,9/1/20,,"GoldenWest Management, Inc",Deposit Bright leaf,X,Rental Income,1220,9821.26
,Check,9/1/20,,"GoldenWest Management, Inc",Fort Pike,X,Management Fees,-145,9676.26
,Deposit,9/1/20,,"GoldenWest Management, Inc",Deposit Fort Pike,X,Rental Income,1256.5,10932.76
,Deposit,9/1/20,,"GoldenWest Management, Inc",Fort Pike,X,Rental Income,24.5,10957.26
,Check,9/2/20,,MOUNTAINS EDGE MASTER ASSOCIATION,review fee Fort Pike,X,Community Association Fee,-20,10937.26
,Check,9/10/20,,Bershire Hathaway,Rental Commission Fort Pike,X,Management Fees,-300,10637.26
,Check,9/15/20,,"GoldenWest Management, Inc",Leasing Fee Fort Pike,X,Management Fees,-897.5,9739.76
,Check,9/21/20,,NV ENERGY,Fort Pike,X,Utilities,-42.6,10072.66
,Check,9/23/20,,AMERICAN HOME MECHANICAL LLC.,$112.50+$35 Fort Pike,X,Repairs and Maintenance,-147.5,9925.16
,Check,9/23/20,,"GoldenWest Management, Inc",stamp Fort Pike,X,Management Fees,-10,9915.16
,Check,9/23/20,,"GoldenWest Management, Inc",Zillow Ad Fee Fort Pike,X,Management Fees,-30,9885.16
,Check,9/23/20,,CT cleaning, Fort Pike,X,Repairs and Maintenance,-35,9850.16
,Check,10/1/20,,"GoldenWest Management, Inc", Bright Leaf,X,Management Fees,-115,9735.16
,Deposit,10/1/20,,"GoldenWest Management, Inc",Deposit Bright Leaf,X,Rental Income,1220,10955.16
,Check,10/1/20,,Drain BEARS,New  water heater $900+$35 Fort Pike,X,Repairs and Maintenance,-935,10020.16
,Check,10/1/20,,"GoldenWest Management, Inc", Fort Pike,X,Management Fees,-145,9875.16
,Deposit,10/1/20,,"GoldenWest Management, Inc",Deposit Fort Pike,X,Rental Income,1795,11670.16
,Deposit,10/1/20,,"GoldenWest Management, Inc",Deposit Fort Pike,X,Rental Income,35,11705.16
,Deposit,10/2/20,,"GoldenWest Management, Inc",Leasing fee Fort Pike,X,Management Fees,597.5,12302.66
,Check,10/4/20,,MOUNTAINS EDGE MASTER ASSOCIATION,checking #540 Fort Pike,X,Community Association Fee,-192,12110.66
,Check,10/4/20,,ELDORADO THIRD CA,checking #542 Bright Leaf,X,Community Association Fee,-63,12047.66
,Check,10/7/20,,Nature by Design LLC,Fort Pike Tree Trim $230+$35,X,Repairs and Maintenance,-265,11782.66
,Check,10/7/20,,CT cleaning,Fort Pike $753+$35,X,Repairs and Maintenance,-753,11029.66
,Check,10/10/20,,REPUBLIC SERVICE,4 qtr 2020 Fort Pike,X,Utilities,-46.65,10983.01
,Check,10/11/20,,Billoyd's Appliance Service,$438.77+$35 Fort Pike,X,Repairs and Maintenance,-473.77,10509.24
,Check,11/4/20,,"GoldenWest Management, Inc",Bright Leaf,X,Management Fees,-115,10394.24
,Check,11/4/20,,"GoldenWest Management, Inc",Fort Pike,X,Management Fees,-145,10249.24
,Deposit,11/4/20,,"GoldenWest Management, Inc",Bright Leaf,X,Rental Income,1220,11469.24
,Deposit,11/4/20,,"GoldenWest Management, Inc",Fort Pike,X,Rental Income,1795,13264.24
,Deposit,11/4/20,,"GoldenWest Management, Inc",Fort Pike,X,Rental Income,35,13299.24
,Check,11/11/20,,Ruiz LV Home repairs,Replace Toilet Flush Handle Fort Pike,X,Repairs and Maintenance,-105,13194.24
,Check,11/11/20,,City Lights Appliance LLC,Garbage Disposal Fort Pike,X,Repairs and Maintenance,-175,13019.24
,Deposit,12/5/20,,"GoldenWest Management, Inc",Deposit Bright Leaf,X,Rental Income,1220,14239.24
,Check,12/5/20,,"GoldenWest Management, Inc",Bright Leaf,X,Management Fees,-115,14124.24
,Deposit,12/5/20,,"GoldenWest Management, Inc",Fort Pike,X,Rental Income,1795,15919.24
,Deposit,12/5/20,,"GoldenWest Management, Inc",Fort Pike,X,Rental Income,35,15954.24
,Deposit,12/5/20,,"GoldenWest Management, Inc",Fort Pike,X,Rental Income,60,16014.24
,Check,12/5/20,,"GoldenWest Management, Inc",Fort Pike,X,Management Fees,-145,15869.24
,Check,12/6/20,,Pablo Montiel,1828 Bright Leaf painting facial broad,X,Repairs and Maintenance,-800,15069.24
,Check,12/28/20,,State Farm Fire and Casualty Company,1828 Bright Leaf,X,Insurance Expense,-564,14505.24
,Check,12/29/20,,State Farm Fire and Casualty Company,10001 Fort Pike,X,Insurance Expense,-699,13806.24
,Check,12/29/20,,MOUNTAINS EDGE MASTER ASSOCIATION,chk #545 Fort Pike,X,Community Association Fee,-192,13614.24
,Check,1/12/21,,REPUBLIC SERVICE,Fort Pike,X,Utilities,-46.65,15566.35
,Deposit,1/16/21,,"GoldenWest Management, Inc",Bright Leaf,X,Rental Income,1220,16786.35
,Check,1/16/21,,"GoldenWest Management, Inc",Bright Leaf,X,Management Fees,-115,16671.35
,Check,1/16/21,,"GoldenWest Management, Inc",1/2021 Semi Annual Record Bright Leaf,X,Management Fees,-49,16622.35
,Check,1/16/21,,"GoldenWest Management, Inc",1/2021 Semi Anual Record Fort Pike,X,Management Fees,-49,16573.35
,Check,1/16/21,,"GoldenWest Management, Inc",Fort Pike,X,Management Fees,-145,16428.35
,Deposit,1/16/21,,"GoldenWest Management, Inc",Fort Pike,X,Rental Income,1795,18223.35
,Deposit,1/16/21,,"GoldenWest Management, Inc",Deposit Fort Pike,X,Rental Income,35,18258.35
,Check,1/22/21,,Nature by Design LLC,470+35 Fort Pike,X,Repairs and Maintenance,-505,17753.35
,Deposit,2/4/21,,"GoldenWest Management, Inc",Deposit Bright Leaf,X,Rental Income,1220,18973.35
,Check,2/4/21,,"GoldenWest Management, Inc",Bright Leaf,X,Management Fees,-115,18858.35
,Deposit,2/4/21,,"GoldenWest Management, Inc",Deposit Fort Pike,X,Rental Income,1795,20653.35
,Deposit,2/4/21,,"GoldenWest Management, Inc",Deposit Fort Pike,X,Rental Income,35,20688.35
,Check,2/4/21,,"GoldenWest Management, Inc",Fort Pike,X,Management Fees,-145,20543.35
,Check,2/5/21,,Number One Plumbing Heating & Air,85+35 Fort Pike,X,Repairs and Maintenance,-120,20423.35
,Check,3/1/21,,"GoldenWest Management, Inc",Bright Leaf,X,Management Fees,-115,20308.35
,Check,3/1/21,,"GoldenWest Management, Inc",Fort Pike,X,Management Fees,-145,20163.35
,Deposit,3/1/21,,"GoldenWest Management, Inc",Bright Leaf,X,Rental Income,1220,21383.35
,Deposit,3/1/21,,"GoldenWest Management, Inc",Fort Pike,X,Rental Income,1795,23178.35
,Deposit,3/1/21,,"GoldenWest Management, Inc",Fort Pike,X,Rental Income,35,23213.35
,Check,3/1/21,,PRIORTY APPLIANCES,Fort Pike new DISHWASHER $528.20+35=563.20,X,Repairs and Maintenance,-563.2,22650.15
,Check,3/1/21,,Nature by Design LLC,Fort Pike TREE TRIMMING $230+35,X,Repairs and Maintenance,-265,22385.15
,Check,3/9/21,,Number One Plumbing Heating & Air,Fort Pike $167.39+35,X,Repairs and Maintenance,-202.39,22182.76
,Check,3/9/21,,Gutierrez Handyman Services,Fort Pike,X,Repairs and Maintenance,-25,22157.76
,Check,3/15/21,,"GoldenWest Management, Inc",HOA COORDINATION Fort Pike,X,Management Fees,-5,22152.76
,Check,3/23/21,,ELDORADO THIRD CA,check #549 3/2021 Bright Leaf,X,Community Association Fee,-69,22083.76
,Check,3/23/21,,MOUNTAINS EDGE MASTER ASSOCIATION,check #548 3/2021 Fort Pike,X,Community Association Fee,-192,21891.76
,Check,4/1/21,,"GoldenWest Management, Inc",Bright Leaf,X,Management Fees,-115,21776.76
,Check,4/1/21,,"GoldenWest Management, Inc",Fort Pike,X,Management Fees,-145,21631.76
,Deposit,4/1/21,,"GoldenWest Management, Inc",Bright Leaf,X,Rental Income,1220,22851.76
